Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Sturdy	100	1	1	1	10	1				28	101	ac%		10	20											armo												0	0	0
Sturdy	100	1	1	5	15	3				28	101	ac%		21	30											armo												0	0	0
Sturdy	100	1	1	10	20	6				28	101	ac%		31	45											armo												0	0	0
Strong	100	1	1	15	35	12				28	101	ac%		46	60											armo												0	0	0
Strong	100	1	1	20	45	18				28	101	ac%		61	80											armo												0	0	0
Strong	100	1	1	25	60	24				28	101	ac%		81	100											armo												0	0	0
Glorious	100	1	1	35	80	33				28	101	ac%		101	125											armo												0	0	0
Glorious	100	1	1	45	95	42				28	101	ac%		126	150											armo												0	0	0
Glorious	100	1	1	60		48				26	101	ac%		151	180											armo												0	0	0
Blessed	100	1	1	80		60				24	101	ac%		181	210											armo												0	0	0
Blessed	100	1	1	95		66				22	101	ac%		211	245											tors	shld											0	0	0
Godly	100	1	1	95		66				20	101	ac%		246	270											tors												0	0	0
																																								
Stout	100	1	1	1	10	1				28	102	ac		10	25											armo												0	0	0
Stout	100	1	1	5	15	3				28	102	ac		26	40											armo												0	0	0
Stout	100	1	1	10	20	6				28	102	ac		41	60											armo												0	0	0
Burly	100	1	1	15	35	12				28	102	ac		61	80											armo												0	0	0
Burly	100	1	1	20	45	18				28	102	ac		81	105											armo												0	0	0
Burly	100	1	1	25	60	24				28	102	ac		106	130											armo												0	0	0
Stalwart	100	1	1	35	80	33				28	102	ac		131	160											armo												0	0	0
Stalwart	100	1	1	45	95	42				28	102	ac		161	190											armo												0	0	0
Stalwart	100	1	1	60		48				26	102	ac		191	225											armo												0	0	0
Saintly	100	1	1	80		60				24	102	ac		226	260											armo												0	0	0
Saintly	100	1	1	95		66				22	102	ac		261	300											tors	shld											0	0	0
Holy	100	1	1	95		66				20	102	ac		301	340											tors												0	0	0
																																								
Armadillo's	100	1	1	20	45	18				22	103	ac%		20	40	ease		5	10							armo												0	0	0
Armadillo's	100	1	1	60		48				20	103	ac%		41	60	ease		11	15							armo												0	0	0
Rhino's	100	1	1	80		60				18	103	ac%		61	80	ease		16	20							tors	shld											0	0	0
Rhino's	100	1	1	95		66				16	103	ac%		81	100	ease		21	25							tors												0	0	0
																																								
Elephant's	100	1	1	20	45	18				22	103	ac		20	40	hp		15	20							armo												0	0	0
Elephant's	100	1	1	60		48				20	103	ac		41	60	hp		21	25							armo												0	0	0
Mammoth's	100	1	1	80		60				18	103	ac		61	80	hp		26	30							tors	shld											0	0	0
Mammoth's	100	1	1	95		66				16	103	ac		81	100	hp		31	35							tors												0	0	0
																																								
Sanguine	100	1	1	1	10	1				28	104	hp		1	5											armo												0	0	0
Sanguine	100	1	1	5	15	3				28	104	hp		6	10											armo												0	0	0
Sanguine	100	1	1	10	20	6				28	104	hp		11	20											armo												0	0	0
Fecund	100	1	1	15	35	12				28	104	hp		21	30											armo												0	0	0
Fecund	100	1	1	20	45	18				28	104	hp		31	40											armo												0	0	0
Fecund	100	1	1	25	60	24				28	104	hp		41	50											armo												0	0	0
Rapturous	100	1	1	35		33				28	104	hp		51	60											helm	glov	belt	boot									0	0	0
Rapturous	100	1	1	45		42				28	104	hp		61	70											helm	glov	belt	boot									0	0	0
Rapturous	100	1	1	35	80	33				28	104	hp		51	60											armo												0	0	0
Rapturous	100	1	1	45	95	42				28	104	hp		61	70											armo												0	0	0
Rapturous	100	1	1	60		48				26	104	hp		71	80											armo												0	0	0
Vigorous	100	1	1	80		60				24	104	hp		81	90											tors	shld	helm										0	0	0
