Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Might	100	1	1	1	10	1				28	1	str		2	4											armo										0	0	0
of Might	100	1	1	5	15	3				28	1	str		5	7											armo										0	0	0
of Might	100	1	1	10	20	6				28	1	str		8	10											armo										0	0	0
of the Ox	100	1	1	15	35	12				28	1	str		11	13											armo										0	0	0
of the Ox	100	1	1	20	45	18				28	1	str		14	16											armo										0	0	0
of the Ox	100	1	1	25	60	24				28	1	str		17	19											armo										0	0	0
of the Giant	100	1	1	35		33				28	1	str		20	22											glov	helm	boot	shld							0	0	0
of the Giant	100	1	1	45		42				28	1	str		23	25											glov	helm	boot	shld							0	0	0
of the Giant	100	1	1	35	80	33				28	1	str		20	22											tors	belt									0	0	0
of the Giant	100	1	1	45	95	42				28	1	str		23	25											tors	belt									0	0	0
of the Giant	100	1	1	60		48				26	1	str		26	30											tors	belt									0	0	0
of the Titan	100	1	1	80		60				24	1	str		31	35											tors	belt									0	0	0
of the Titan	100	1	1	95		66				22	1	str		36	40											tors										0	0	0
of Atlas	100	1	1	95		66				20	1	str		41	45											tors										0	0	0
																																						
of the Phantom	100	1	1	1	10	1				28	2	dex		2	4											armo										0	0	0
of the Phantom	100	1	1	5	15	3				28	2	dex		5	7											armo										0	0	0
of the Phantom	100	1	1	10	20	6				28	2	dex		8	10											armo										0	0	0
of the Wind	100	1	1	15	35	12				28	2	dex		11	13											armo										0	0	0
of the Wind	100	1	1	20	45	18				28	2	dex		14	16											armo										0	0	0
of the Wind	100	1	1	25	60	24				28	2	dex		17	19											armo										0	0	0
of Precision	100	1	1	35		33				28	2	dex		20	22											helm	belt	boot	shld							0	0	0
of Precision	100	1	1	45		42				28	2	dex		23	25											helm	belt	boot	shld							0	0	0
of Precision	100	1	1	35	80	33				28	2	dex		20	22											tors	glov									0	0	0
of Precision	100	1	1	45	95	42				28	2	dex		23	25											tors	glov									0	0	0
of Precision	100	1	1	60		48				26	2	dex		26	30											tors	glov									0	0	0
of Perfection	100	1	1	80		60				24	2	dex		31	35											tors	glov									0	0	0
of Perfection	100	1	1	95		66				22	2	dex		36	40											tors										0	0	0
of Nirvana	100	1	1	95		66				20	2	dex		41	45											tors										0	0	0
																																						
of the Mind	100	1	1	1	10	1				28	3	enr		2	4											armo										0	0	0
of the Mind	100	1	1	5	15	3				28	3	enr		5	7											armo										0	0	0
of the Mind	100	1	1	10	20	6				28	3	enr		8	10											armo										0	0	0
of Brilliance	100	1	1	15	35	12				28	3	enr		11	13											armo										0	0	0
of Brilliance	100	1	1	20	45	18				28	3	enr		14	16											armo										0	0	0
of Brilliance	100	1	1	25	60	24				28	3	enr		17	19											armo										0	0	0
of Sorcery	100	1	1	35		33				28	3	enr		20	22											glov	belt	boot	shld							0	0	0
of Sorcery	100	1	1	45		42				28	3	enr		23	25											glov	belt	boot	shld							0	0	0
of Sorcery	100	1	1	35	80	33				28	3	enr		20	22											tors	helm									0	0	0
of Sorcery	100	1	1	45	95	42				28	3	enr		23	25											tors	helm									0	0	0
of Sorcery	100	1	1	60		48				26	3	enr		26	30											tors	helm									0	0	0
of Wizardry	100	1	1	80		60				24	3	enr		31	35											tors	helm									0	0	0
of Wizardry	100	1	1	95		66				22	3	enr		36	40											tors										0	0	0
of Enlightenment	100	1	1	95		66				20	3	enr		41	45											tors										0	0	0
																																						
of the Jackal	100	1	1	1	10	1				18	4	vit		2	4											armo										0	0	0
of the Jackal	100	1	1	5	15	3				18	4	vit		5	7											armo										0	0	0
of the Jackal	100	1	1	10	20	6				18	4	vit		8	10											armo										0	0	0
of the Wolf	100	1	1	15	35	12				18	4	vit		11	13											armo										0	0	0
of the Wolf	100	1	1	20	45	18				18	4	vit		14	16											armo										0	0	0
of the Wolf	100	1	1	25	60	24				18	4	vit		17	19											armo										0	0	0
of the Tiger	100	1	1	35		33				18	4	vit		20	22											helm	belt	glov	shld							0	0	0
of the Tiger	100	1	1	45		42				18	4	vit		23	25											helm	belt	glov	shld							0	0	0
of the Tiger	100	1	1	35	80	33				18	4	vit		20	22											tors	boot									0	0	0
of the Tiger	100	1	1	45	95	42				18	4	vit		23	25											tors	boot									0	0	0
of the Tiger	100	1	1	60		48				16	4	vit		26	30											tors	boot									0	0	0
of the Colossus	100	1	1	80		60				14	4	vit		31	35											tors	boot									0	0	0
of the Colossus	100	1	1	95		66				12	4	vit		36	40											tors										0	0	0
of the Whale	100	1	1	95		66				10	4	vit		41	45											tors										0	0	0
																																						
of the Bear	100	1	1	5	15	3				9	5	str%		1	2											tors	belt									0	0	0
of the Bear	100	1	1	15	35	12				9	5	str%		2	4											tors	belt									0	0	0
of the Bear	100	1	1	25	60	24				8	5	str%		5	7											tors	belt									0	0	0
of the Gorilla	100	1	1	45	95	42				7	5	str%		8	10											tors	belt									0	0	0
of the Gorilla	100	1	1	80		60				6	5	str%		11	13											tors	belt									0	0	0
of the Gorilla	100	1	1	95		66				5	5	str%		14	16											tors										0	0	0
																																						
of the Jaguar	100	1	1	5	15	3				9	6	dex%		1	2											tors	glov									0	0	0
of the Jaguar	100	1	1	15	35	12				9	6	dex%		2	4											tors	glov									0	0	0
of the Jaguar	100	1	1	25	60	24				8	6	dex%		5	7											tors	glov									0	0	0
of the Panther	100	1	1	45	95	42				7	6	dex%		8	10											tors	glov									0	0	0
of the Panther	100	1	1	80		60				6	6	dex%		11	13											tors	glov									0	0	0
of the Panther	100	1	1	95		66				5	6	dex%		14	16											tors										0	0	0
																																						
of the Prodigy	100	1	1	5	15	3				9	7	enr%		1	2											tors	helm									0	0	0
of the Prodigy	100	1	1	15	35	12				9	7	enr%		2	4											tors	helm									0	0	0
of the Prodigy	100	1	1	25	60	24				8	7	enr%		5	7											tors	helm									0	0	0
of the Genius	100	1	1	45	95	42				7	7	enr%		8	10											tors	helm									0	0	0
of the Genius	100	1	1	80		60				6	7	enr%		11	13											tors	helm									0	0	0
of the Genius	100	1	1	95		66				5	7	enr%		14	16											tors										0	0	0
																																						
of the Squid	100	1	1	5	15	3				9	8	vit%		1	2											tors	boot									0	0	0
of the Squid	100	1	1	15	35	12				9	8	vit%		2	4											tors	boot									0	0	0
of the Squid	100	1	1	25	60	24				8	8	vit%		5	7											tors	boot									0	0	0
of the Mumakil	100	1	1	45	95	42				7	8	vit%		8	10											tors	boot									0	0	0
of the Mumakil	100	1	1	80		60				6	8	vit%		11	13											tors	boot									0	0	0
of the Mumakil	100	1	1	95		66				5	8	vit%		14	16											tors										0	0	0
																																						
of Velocity	100	1	1	20	45	18				24	9	swing1		5	10											glov										0	0	0
of Velocity	100	1	1	60		48				24	9	swing2		10	15											glov										0	0	0
of Acceleration	100	1	1	80		60				24	9	swing2		16	20											glov										0	0	0
of Acceleration	100	1	1	95		66				24	9	swing2		21	25											glov										0	0	0
																																						
of Blocking	100	1	1	5	15	3				28	10	block		1	3	block2		4	6							shld										0	0	0
of Blocking	100	1	1	15	35	12				28	10	block		4	6	block2		7	9							shld										0	0	0
